,Restaurant ID,Restaurant Name,Location,Building No.,Street Name,Zip Code,Contact Number,Cuisine Type,Inspection Date,Inspection Action,Violation Code,Violation Description,Critical Flag,Inspection Score,Record Date,Inspection Type,Latitude,Longitude,Community Board,Council District,Census Tract,Building ID No.,Borough-Block-Lot,Neighborhood Area,Grade
0,41647571,PEKING GARDEN,Manhattan,3163,BROADWAY,10027,2128653600,Chinese,2022-02-01,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,13.0,5/14/2023,Cycle Inspection / Re-inspection,40.81464722,-73.95905732,109,7,21100,1059858,1019930092,MN09,A
1,50128737,BAO BY KAYA,Manhattan,570,LEXINGTON AVENUE,10022,9294219987,Asian/Asian Fusion,2022-11-18,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,7.0,5/14/2023,Pre-permit (Operational) / Re-inspection,40.75691801,-73.97206567,105,4,10000,1036459,1013050060,MN19,A
2,40510804,WOODROW DINER,Staten Island,655,ROSSVILLE AVENUE,10309,7186054031,American,2020-03-05,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,11.0,5/14/2023,Cycle Inspection / Re-inspection,40.54259229,-74.20833121,503,51,20801,5079747,5061450300,SI32,A
3,50077566,JANE FAST FOOD,Queens,8622,BROADWAY,11373,6463066186,Chinese,2020-02-21,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,27.0,5/14/2023,Cycle Inspection / Re-inspection,40.73804038,-73.8772343,404,25,47300,4038767,4015490020,QN29,B
4,50110452,GREENHOUSE CAFE RBNY,Queens,10810,ROCKAWAY BEACH DR,11694,7184898938,Coffee/Tea,2021-12-01,No violations were recorded at the time of this inspection.,Null,Null,Not Applicable,0.0,5/14/2023,Pre-permit (Operational) / Re-inspection,40.58140377,-73.82987327,414,32,93800,4000000,4161800001,QN10,A
5,41688789,AGEHA JAPANESE FUSION,Manhattan,767,9 AVENUE,10019,2125818188,Chinese/Japanese,2022-11-22,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,55.0,5/14/2023,Cycle Inspection / Re-inspection,40.76437832,-73.98830373,104,3,13300,1082887,1010610032,MN15,Z
6,50044574,THE STRAND BISTRO,Manhattan,33,WEST   37 STREET,10018,2125844000,American,2018-03-30,Violations were cited in the following area(s).,10J,Hand wash sign not posted,Not Critical,13.0,5/14/2023,Cycle Inspection / Initial Inspection,40.75085717,-73.98439011,105,4,8400,1084661,1008397503,MN17,A
7,40366661,BABY BO'S CANTINA,Manhattan,627,2 AVENUE,10016,2127792656,Tex-Mex,2022-02-02,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,28.0,5/14/2023,Cycle Inspection / Re-inspection,40.74497913,-73.97574095,106,2,7800,1020155,1009150029,MN20,C
8,50128573,LAO JIE HOTPOT,Manhattan,105,BOWERY,10002,6464788166,Chinese,2022-12-19,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13.0,5/14/2023,Pre-permit (Operational) / Re-inspection,40.71770412,-73.99519131,103,1,1600,1003923,1003040006,MN27,A
9,40591492,LOVELL'S GUIDING LIGHT,Queens,14833,HILLSIDE AVENUE,11435,7182973153,American,2019-06-27,Violations were cited in the following area(s).,10J,Hand wash sign not posted,Not Critical,11.0,5/14/2023,Cycle Inspection / Initial Inspection,40.70617769,-73.8081833,408,24,23800,4207417,4097040053,QN61,A
10,41396647,YANKEES CLUBHOUSE KITCHEN,Bronx,1,EAST  161 STREET,10451,9172843266,American,2017-07-25,No violations were recorded at the time of this inspection.,Null,Null,Not Applicable,0.0,5/14/2023,Cycle Inspection / Initial Inspection,40.82902843,-73.92849646,204,16,6300,2114490,2024930001,BX63,A
11,40928698,THALASSA,Manhattan,179,FRANKLIN STREET,10013,2129417661,Greek,2020-01-22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,13.0,5/14/2023,Cycle Inspection / Initial Inspection,40.71934521,-74.00935427,101,1,3900,1002075,1001810016,MN24,A
12,50113951,LA PATRONA,Bronx,558,SOUTHERN BOULEVARD,10455,7184016000,Mexican,2022-09-19,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,37.0,5/14/2023,Cycle Inspection / Re-inspection,40.81236584,-73.903277,202,8,8300,2004122,2026030007,BX33,C
13,50131047,QUICKLY,Queens,8306,BROADWAY,11373,3475310885,Other,2023-05-01,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,30.0,5/14/2023,Pre-permit (Operational) / Initial Inspection,40.74090587,-73.87978034,404,25,48500,4314481,4015440130,QN50,N
14,50066244,IMPASTO,Brooklyn,373,WAVERLY AVENUE,11238,7187891520,Pizza,2023-04-05,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,12.0,5/14/2023,Cycle Inspection / Initial Inspection,40.68693596,-73.96657831,302,35,19700,3055505,3019450053,BK69,A
15,50118725,SARILING ATIN,Queens,8908,QUEENS BLVD,11373,8484481004,Other,2023-03-31,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,20.0,5/14/2023,Pre-permit (Operational) / Initial Inspection,40.73467221,-73.87438272,404,25,47500,4064743,4028550012,QN29,N
